"RFO_Part","Section_Number","Propositional_ID","Natural_Language","Atomic_Propositions","Formal_Logic_Statement","Dependencies","Justification_Rules","Validation_Status","Logical_Check","Real_World_Check","Validation_Notes","Confidence_Level"
"6.0 (General)","6.000","P_6_000","6.000 Scope of part. This part prescribes policies and procedures for full and open competition.","P_6_000_a: This part prescribes policies and procedures for full and open competition.","P_6_000_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Regulatory scope statement properly represented.","HIGH"
"6.0 (General)","6.001","P_6_001","6.001 Applicability. This part applies to all acquisitions except-- (a) Contracts awarded using the simplified acquisition procedures of part 13; (b) Contracts awarded using contracting procedures (other than those addressed in this part) that are expressly authorized by statute; (c) Contract modifications that are within the scope of the contract, including exercising priced options that were evaluated as part of the original competition (see part 17); (d) Orders placed under requirements contracts or definite-quantity contracts; (e) Orders placed under indefinite-quantity contracts that were entered into according to this part when-- (1) The contract was awarded under 6.101 or 6.102, and all responsible sources were realistically permitted to compete for the requirements contained in the order; or (2) The contract was awarded under 6.103, and the justification and approval, if required, adequately covers the requirements contained in the order; or (f) Orders placed against task order and delivery order contracts entered into according to part 16.","P_6_001_a: Contracts awarded using simplified acquisition procedures of part 13 are excepted; P_6_001_b: Contracts awarded using contracting procedures expressly authorized by statute are excepted; P_6_001_c: Contract modifications within scope of the contract, including exercising priced options evaluated as part of the original competition, are excepted; P_6_001_d: Orders placed under requirements contracts or definite-quantity contracts are excepted; P_6_001_e1: Orders under indefinite-quantity contracts where the contract was awarded under 6.101 or 6.102 and all responsible sources were permitted to compete are excepted; P_6_001_e2: Orders under indefinite-quantity contracts where the contract was awarded under 6.103 and the J&A adequately covers the requirements are excepted; P_6_001_f: Orders placed against task order and delivery order contracts entered into according to part 16 are excepted","~(P_6_001_a v P_6_001_b v P_6_001_c v P_6_001_d v P_6_001_e1 v P_6_001_e2 v P_6_001_f) -> Part 6 applies","P_6_101; P_6_102; P_6_103","De Morgan's Rule (DM): Rule 9; Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Disjunctive exceptions properly structured. Each exception is independent. Cross-references to 6.101, 6.102, 6.103, parts 13, 16, 17. Complex section with nested sub-paragraphs; further decomposition possible.","MEDIUM"
"6.0 (General)","6.002","P_6_002","6.002 Limitations. No agency may contract for supplies or services from another agency to avoid the requirements of this part.","P_6_002_a: No agency may contract for supplies or services from another agency to avoid the requirements of this part.","P_6_002_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Prohibition properly represented as single atomic proposition. Mandatory requirement; enforceable.","HIGH"
"6.0 (General)","6.003_a","P_6_003_a","6.003(a) Advocates for competition. 41 U.S.C. 1705 requires the head of each executive agency to designate and resource an advocate for competition for the agency and for each procuring activity of the agency.","P_6_003_a_a: 41 U.S.C. 1705 requires the head of each executive agency to designate and resource an advocate for competition for the agency and for each procuring activity of the agency.","P_6_003_a_a","None","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Statutory requirement properly represented.","HIGH"
"6.0 (General)","6.003_b","P_6_003_b","6.003(b) The advocate promotes full and open competition, promotes the acquisition of commercial products and services, and challenges barriers to acquisition. The advocate reports actions taken to increase competition to the senior procurement executive and chief acquisition officer.","P_6_003_b_a: The advocate promotes full and open competition; P_6_003_b_b: The advocate promotes the acquisition of commercial products and services; P_6_003_b_c: The advocate challenges barriers to acquisition; P_6_003_b_d: The advocate reports actions taken to increase competition to the senior procurement executive and chief acquisition officer","(P_6_003_b_a ^ P_6_003_b_b ^ P_6_003_b_c ^ P_6_003_b_d)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Conjunction links co-required advocate duties. All duties are concurrent responsibilities.","HIGH"
"6.1 (Presolicitation)","6.101_a","P_6_101_a","6.101(a) Full and open competition. Except as authorized by 6.102 and 6.103, contracting officers must obtain full and open competition by using competitive procedures to solicit offers and award Government contracts (see 10 U.S.C. 3201 and 41 U.S.C. 3301).","P_6_101_a_a: Except as authorized by 6.102 and 6.103, contracting officers must obtain full and open competition by using competitive procedures to solicit offers and award Government contracts.","~(P_6_102 v P_6_103) -> P_6_101_a_a","P_6_102; P_6_103","Modus Ponens (MP): Rule 1; Material Implication (Impl): Rule 15","VALID","PASS","PASS","No contradictions detected. Implication properly represents the default requirement with exceptions. Cross-references 6.102 and 6.103 as authorized exceptions. Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.101_b","P_6_101_b","6.101(b) Contracting officers must use the competitive procedure, or combination of procedures, best suited to efficiently fulfill the Government's requirements. Competitive procedures include sealed bids, competitive proposals, and other procedures explicitly authorized by statute.","P_6_101_b_a: Contracting officers must use the competitive procedure or combination best suited to efficiently fulfill the Government's requirements; P_6_101_b_b: Competitive procedures include sealed bids, competitive proposals, and other procedures explicitly authorized by statute","(P_6_101_b_a ^ P_6_101_b_b)","None","Conjunction (Conj): Rule 7","VALID","PASS","PASS","No contradictions detected. Conjunction links requirement with definition of competitive procedures.","HIGH"
"6.1 (Presolicitation)","6.101_b1","P_6_101_b1","6.101(b)(1) Sealed bids. For sealed bidding procedures, see part 14. Use sealed bids only when the contracting officer has found that all of the following apply: (i) Time permits staff to solicit, submit, and evaluate sealed bids; (ii) The award will be made on the basis of price and other price-related factors; (iii) Discussion with bidders is unnecessary; and (iv) Contracting officers reasonably expect to receive more than one sealed bid.","P_6_101_b1_i: Time permits staff to solicit, submit, and evaluate sealed bids; P_6_101_b1_ii: The award will be made on the basis of price and other price-related factors; P_6_101_b1_iii: Discussion with bidders is unnecessary; P_6_101_b1_iv: Contracting officers reasonably expect to receive more than one sealed bid","(P_6_101_b1_i ^ P_6_101_b1_ii ^ P_6_101_b1_iii ^ P_6_101_b1_iv) -> Sealed bids may be used","None","Conjunction (Conj): Rule 7; Modus Ponens (MP): Rule 1","VALID","PASS","PASS","No contradictions detected. All four conditions must be met (conjunction) before sealed bids can be used (implication). Mandatory requirement; enforceable.","HIGH"
"6.1 (Presolicitation)","6.101_b2","P_6_101_b2","6.101(b)(2) Competitive proposals. For competitive proposal procedures, see part 15.","P_6_101_b2_a: For competitive proposal procedures, see part 15.","P_6_101_b2_a","P_15_000","Simplification (Simp): Rule 6","VALID","PASS","PASS","No contradictions detected. Cross-reference to Part 15 for competitive proposal procedures.","HIGH"
"6.1 (Presolicitation)","6.101_b3","P_6_101_b3","6.101(b)(3) Other competitive procedures. The following procedures are also considered competitive procedures (see 41 U.S.C. 152): (i) Selection of sources for architect-engineer contracts according to the provisions of 40 U.S.C. 1102 et seq.; (ii) Competitive selection of basic and applied research, as well as that part of development not related to developing a specific system or hardware procurement, if award results from (A) Proposals in response to a general solicitation or broad agency announcement and (B) A peer review or scientific review of such proposals; (iii) Use of procedures established by the Administrator of General Services for the multiple award schedule program of the General Services Administration.","P_6_101_b3_i: Selection of sources for architect-engineer contracts according to 40 U.S.C. 1102 et seq.; P_6_101_b3_ii: Competitive selection of basic and applied research if award results from proposals in response to a general solicitation or BAA and a peer or scientific review; P_6_101_b3_iii: Use of procedures established by the Administrator of General Services for the multiple award schedule program of GSA","(P_6_101_b3_i v P_6_101_b3_ii v P_6_101_b3_iii)","None","Addition (Add): Rule 8","VALID","PASS","PASS","No contradictions detected. Disjunction of three alternative competitive procedures. Each is independently valid as a competitive procedure.","HIGH"
